Cell_ID	cell_types	week	Gene_num	Pre_Map_Reads	Aligned_Reads	MappingRate	pfc
GW08_PFC1_sc1	Neurons	GW08	4405	5941167	4622105	77.80%	PFC1
GW08_PFC1_sc11	Stem cells	GW08	2058	544878	418086	76.70%	PFC1
GW08_PFC1_sc12	Neurons	GW08	2967	778157	604185	77.60%	PFC1
GW08_PFC1_sc13	Neurons	GW08	2348	792592	604056	76.20%	PFC1
GW08_PFC1_sc14	Neurons	GW08	2410	983852	790058	80.30%	PFC1
GW08_PFC1_sc15	Neurons	GW08	2508	901838	707992	78.50%	PFC1
GW08_PFC1_sc16	GABAergic neurons	GW08	3284	1039615	781163	75.10%	PFC1
GW08_PFC1_sc17	Neurons	GW08	3741	1559119	1161996	74.50%	PFC1
GW08_PFC1_sc18	Stem cells	GW08	3463	1759098	1374191	78.10%	PFC1
GW08_PFC1_sc19	GABAergic neurons	GW08	2354	845884	638888	75.50%	PFC1
GW08_PFC1_sc2	GABAergic neurons	GW08	3587	1288826	1025863	79.60%	PFC1
GW08_PFC1_sc20	Neurons	GW08	3501	2160257	1748850	81.00%	PFC1
GW08_PFC1_sc21	Neurons	GW08	3161	1443796	1192765	82.60%	PFC1
GW08_PFC1_sc22	Neurons	GW08	2304	1155296	907385	78.50%	PFC1
GW08_PFC1_sc24	Neurons	GW08	2087	981204	782692	79.80%	PFC1
GW08_PFC1_sc25	Neurons	GW08	3462	2130924	1694835	79.50%	PFC1
GW08_PFC1_sc3	Neurons	GW08	2866	1273574	1019595	80.10%	PFC1
GW08_PFC1_sc4	Neurons	GW08	2140	1005001	778936	77.50%	PFC1
GW08_PFC1_sc5	Microglia	GW08	4119	3034624	2346561	77.30%	PFC1
GW08_PFC1_sc6	Microglia	GW08	3518	1473255	1145249	77.70%	PFC1
GW08_PFC1_sc7	Stem cells	GW08	3363	1969061	1580655	80.30%	PFC1
GW08_PFC1_sc8	Neurons	GW08	3767	1569758	1224352	78.00%	PFC1
GW08_PFC1_sc9	Neurons	GW08	3536	2141100	1650671	77.10%	PFC1
GW09_PFC1_sc1	Stem cells	GW09	3583	4331499	2980068	68.80%	PFC1
GW09_PFC1_sc10	Neurons	GW09	3130	2551563	1921274	75.30%	PFC1
GW09_PFC1_sc11	Stem cells	GW09	3005	789249	520661	66.00%	PFC1
GW09_PFC1_sc12	Neurons	GW09	2701	1058199	792044	74.80%	PFC1
GW09_PFC1_sc13	Neurons	GW09	2761	1992232	1095559	55.00%	PFC1
GW09_PFC1_sc14	Neurons	GW09	2924	2220120	1715671	77.30%	PFC1
GW09_PFC1_sc15	Neurons	GW09	2819	2671302	1983530	74.30%	PFC1
GW09_PFC1_sc16	Neurons	GW09	3396	2301463	1814183	78.80%	PFC1
GW09_PFC1_sc17	Stem cells	GW09	3423	3615294	2851966	78.90%	PFC1
GW09_PFC1_sc18	Neurons	GW09	3858	3760875	2947601	78.40%	PFC1
GW09_PFC1_sc19	Stem cells	GW09	2114	1404698	1039775	74.00%	PFC1
GW09_PFC1_sc2	Stem cells	GW09	2586	2298395	1432939	62.30%	PFC1
GW09_PFC1_sc20	Stem cells	GW09	2290	952176	648679	68.10%	PFC1
GW09_PFC1_sc21	Neurons	GW09	2912	616371	467672	75.90%	PFC1
